"First Semi-Final","2008","1","Montenegro","Stefan Filipović","Zauvijek volim te (Заувијек волим те)","14"
"First Semi-Final","2008","2","Israel","Boaz Ma'uda","The Fire in Your Eyes","5"
"First Semi-Final","2008","3","Estonia","Kreisiraadio","Leto svet","18"
"First Semi-Final","2008","4","Moldova","Geta Burlacu","A Century of Love","12"
"First Semi-Final","2008","5","San Marino","Miodio","Complice","19"
"First Semi-Final","2008","6","Belgium","Ishtar","O Julissi","17"
"First Semi-Final","2008","7","Azerbaijan","Elnur and Samir","Day After Day","6"
"First Semi-Final","2008","8","Slovenia","Rebeka Dremelj","Vrag naj vzame","11"
"First Semi-Final","2008","9","Norway","Maria Haukaas Storeng","Hold On Be Strong","4"
"First Semi-Final","2008","10","Poland","Isis Gee","For Life","10"
"First Semi-Final","2008","11","Ireland","Dustin the Turkey","Irelande Douze Pointe","15"
"First Semi-Final","2008","12","Andorra","Gisela","Casanova","16"
"First Semi-Final","2008","13","Bosnia and Herzegovina","Laka","Pokušaj","9"
"First Semi-Final","2008","14","Armenia","Sirusho","Qélé, Qélé (Քելե Քելե)","2"
"First Semi-Final","2008","15","Netherlands","Hind","Your Heart Belongs to Me","13"
"First Semi-Final","2008","16","Finland","Teräsbetoni","Missä miehet ratsastaa","8"
"First Semi-Final","2008","17","Romania","Nico and Vlad","Pe-o margine de lume","7"
"First Semi-Final","2008","18","Russia","Dima Bilan","Believe","3"
"First Semi-Final","2008","19","Greece","Kalomira","Secret Combination","1"
"Second Semi-Final","2008","1","Iceland","Euroband","This Is My Life","8"
"Second Semi-Final","2008","2","Sweden","Charlotte Perrelli","Hero","12"
"Second Semi-Final","2008","3","Turkey","Mor ve Ötesi","Deli","7"
"Second Semi-Final","2008","4","Ukraine","Ani Lorak","Shady Lady","1"
"Second Semi-Final","2008","5","Lithuania","Jeronimas Milius","Nomads in the Night","16"
"Second Semi-Final","2008","6","Albania","Olta Boka","Zemrën e lamë peng","9"
"Second Semi-Final","2008","7","Switzerland","Paolo Meneguzzi","Era stupendo","13"
"Second Semi-Final","2008","8","Czech Republic","Tereza Kerndlová","Have Some Fun","18"
"Second Semi-Final","2008","9","Belarus","Ruslan Alekhno","Hasta la Vista","17"
"Second Semi-Final","2008","10","Latvia","Pirates of the Sea","Wolves of the Sea","6"
"Second Semi-Final","2008","11","Croatia","Kraljevi ulice and 75 Cents","Romanca","4"
"Second Semi-Final","2008","12","Bulgaria","Deep Zone and Balthazar","DJ, Take Me Away","11"
"Second Semi-Final","2008","13","Denmark","Simon Mathew","All Night Long","3"
"Second Semi-Final","2008","14","Georgia","Diana Gurtskaya","Peace Will Come","5"
"Second Semi-Final","2008","15","Hungary","Csézy","Candlelight","19"
"Second Semi-Final","2008","16","Malta","Morena","Vodka","14"
"Second Semi-Final","2008","17","Cyprus","Evdokia Kadi","Femme Fatale","15"
"Second Semi-Final","2008","18","North Macedonia","Tamara, Vrčak and Adrian","Let Me Love You","10"
"Second Semi-Final","2008","19","Portugal","Vânia Fernandes","Senhora do mar (Negras águas)","2"
"Grand Final","2008","1","Romania","Nico and Vlad","Pe-o margine de lume","20"
"Grand Final","2008","2","United Kingdom","Andy Abraham","Even If","25"
"Grand Final","2008","3","Albania","Olta Boka","Zemrën e lamë peng","17"
"Grand Final","2008","4","Germany","No Angels","Disappear","23"
"Grand Final","2008","5","Armenia","Sirusho","Qélé, Qélé (Քելե Քելե)","4"
"Grand Final","2008","6","Bosnia and Herzegovina","Laka","Pokušaj","10"
"Grand Final","2008","7","Israel","Boaz Ma'uda","The Fire in Your Eyes","9"
"Grand Final","2008","8","Finland","Teräsbetoni","Missä miehet ratsastaa","22"
"Grand Final","2008","9","Croatia","Kraljevi ulice and 75 Cents","Romanca","21"
"Grand Final","2008","10","Poland","Isis Gee","For Life","24"
"Grand Final","2008","11","Iceland","Euroband","This Is My Life","14"
"Grand Final","2008","12","Turkey","Mor ve Ötesi","Deli","7"
"Grand Final","2008","13","Portugal","Vânia Fernandes","Senhora do mar (Negras águas)","13"
"Grand Final","2008","14","Latvia","Pirates of the Sea","Wolves of the Sea","12"
"Grand Final","2008","15","Sweden","Charlotte Perrelli","Hero","18"
"Grand Final","2008","16","Denmark","Simon Mathew","All Night Long","15"
"Grand Final","2008","17","Georgia","Diana Gurtskaya","Peace Will Come","11"
"Grand Final","2008","18","Ukraine","Ani Lorak","Shady Lady","2"
"Grand Final","2008","19","France","Sébastien Tellier","Divine","19"
"Grand Final","2008","20","Azerbaijan","Elnur and Samir","Day After Day","8"
"Grand Final","2008","21","Greece","Kalomira","Secret Combination","3"
"Grand Final","2008","22","Spain","Rodolfo Chikilicuatre","Baila el Chiki-chiki","16"
"Grand Final","2008","23","Serbia","Jelena Tomašević feat. Bora Dugić","Oro (Оро)","6"
"Grand Final","2008","24","Russia","Dima Bilan","Believe","1"
"Grand Final","2008","25","Norway","Maria Haukaas Storeng","Hold On Be Strong","5"
